id,cnnaff,Smiles
15414,-4.61549,[H]c1oc(OC(=O)[C@]([H])(OC([H])(C([H])([H])[H])C([H])([H])[H])[C@@]2([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c(-n2c([H])c([H])c([H])c([H])c2=O)c1[H]
15415,-4.61371,[H]Sc1c(-c2c([H])c([H])c([H])c(N([H])[H])c2[H])c(N=C=S)n([H])c(=O)c1[H]
15416,-4.61099,[H]ON([H])C(=O)C([H])=C([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])OC([H])([H])C([H])([H])N(c2c([H])c([H])n([H])c(=O)c2[H])C1([H])[H]
15417,-4.61025,[H]C#Cc1c([H])c(S[C@]([H])(C(=O)OC([H])([H])[H])C([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c(=O)n1[H]
15418,-4.60794,[H]c1nc([H])c(C([H])([H])OC2(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])C2([H])[H])c([H])c1[H]
15419,-4.60452,[H]c1c([H])c([H])c(C([H])([H])N(C([H])([H])c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H])c(Cl)c1[H]
15420,-4.60355,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])N([H])S(=O)(=O)N([H])[H])[C@@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H]
15421,-4.60132,[H]OC(=O)C([H])([H])O[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])N([H])C([H])([H])C([H])([H])[H])[C@]1([H])N([H])Sc1c([H])c(N=C=S)n([H])c(=O)c1[H]
15422,-4.59469,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])N([H])C([H])([H])c2c([H])c([H])c(=O)n([H])c2[H])c1Cl
15423,-4.59418,[H]c1oc(OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c(-n2c([H])c([H])c([H])c([H])c2=O)c1[H]
15424,-4.5919,[H]c1c([H])c([H])n(OC([H])(C([H])([H])[H])C([H])([H])[H])c(=O)c1C(=O)N([H])C([H])([H])[C@@]([H])(SC([H])([H])[H])C([H])([H])C([H])([H])[H]
15425,-4.59,[H]c1nc([C@]([H])(O[C@]2([H])OC([H])([H])C([H])([H])N(c3c([H])c([H])n([H])c(=O)c3[H])C2([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])c([H])c1[H]
15426,-4.58951,[H]c1c([H])c([H])c(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)c2c([H])c([H])c([H])n([H])c2=O)c([H])c1[H]
15427,-4.58766,[H]ON([H])C(=O)C(=C([H])c1c(C([H])=C([H])[H])c([H])c(=O)n([H])c1[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
15428,-4.58748,[H]c1c(S[C@@]([H])(C(=O)OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c(=O)n([H])c1[H]
15429,-4.5828,[H]c1nc([C@]([H])(c2c([H])c([H])c(=O)n(SC(F)(F)F)c2[H])N([H])C([H])([H])[H])nc(C(F)(F)F)c1[H]
15430,-4.58273,[H]c1c(C(=O)N([H])[C@](C(=O)OC([H])([H])C([H])([H])[H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])n([H])c(=O)c1[H]
15431,-4.58254,[H]c1nc(N([H])c2c([H])c([H])n(-c3c([H])oc([H])c3[H])c(=O)c2[H])sc1[H]
15432,-4.58117,[H]c1c(C([H])([H])C([H])([H])C([H])([H])N([H])[H])c([H])n([H])c(=O)c1C(=O)N([H])C([H])([H])[C@@]([H])(SC([H])([H])S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H]
15433,-4.58064,[H]OC([H])([H])C([H])([H])C([H])([H])[C@@](N([H])[C@]1([H])N(c2c([H])c([H])n([H])c(=O)c2[H])C([H])([H])C([H])([H])OC1([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H]
